codigo;codigo_anterior;uf;lat;lon;responsavel;regime;enquadramento;corpo_hidrico;contagem;media;minimo;maximo;data_inicial;data_final;desvio_padrao;variancia;periodo_anos;frequencia_ano
BIRP 00500;;SP;-23,79111111;-46,47055556;CETESB;lentico;0;Braço do Rio Pequeno;33;3,12121212121212;2;6;2015-04-23;2018-05-22;0,599873724085732;0,359848484848485;3,0822191780821918;10,7065714971422476
BITQ 00100;;SP;-23,84472222;-46,65555556;CETESB;lentico;0;Braço do Ribeirão Taquacetuba;133;5,3609022556391;3;21;1999-01-06;2018-05-22;3,11725001637919;9,71724766461609;19,3863287671232877;6,8605047194676096
BJAU 03300;;SP;-22,19083333;-48,67694444;CETESB;lentico;3;Braço do rio Jaú;13;2;2;2;2016-01-05;2018-01-03;0;0;1,9972876712328767;6,5088270394096103
BMIR 02800;;SP;-23,56638889;-46,09333333;CETESB;lotico;2;Rio Biritiba-Mirim;275;2,88363636363636;1;19;1978-01-01;2018-01-10;2,22811855071608;4,96451227604512;40,0520821917808219;6,8660600136397745
BOIC 02950;;SP;-23,78388889;-45,62027778;CETESB;lotico;2;Rio Boiçucanga;71;3,12112676056338;1;17;2004-05-04;2018-01-17;2,23260997124491;4,98454728370221;13,7150958904109589;5,1767775134288585
BPEN 02400;;SP;-20,29666667;-50,92444444;CETESB;lentico;2;Braço do Rib. Ponte Pensa;31;2;2;2;2013-02-21;2018-02-27;0;0;5,0192054794520548;6,1762763303693757
BQGU 03150;;SP;-23,41361111;-46,37166667;CETESB;lotico;3;Rio Baquirivu-Guaçu;126;29,6428571428571;1;576;1989-02-01;2018-05-03;58,4917723151849;3421,28742857143;29,2685205479452055;4,3049664841650434
BQGU 03850;;SP;-23,4675;-46,48777778;CETESB;lotico;3;Rio Baquirivu-Guaçu;43;77,5813953488372;8;344;2011-01-12;2018-01-17;57,8628232312627;3348,10631229236;7,0192054794520548;6,1260494689716277
BSJD 02200;;SP;-20,55305556;-51,01111111;CETESB;lentico;2;Braço do Rio São José dos Dourados;31;2,09677419354839;2;4;2013-02-21;2018-02-27;0,396218686222429;0,156989247311828;5,0192054794520548;6,1762763303693757
BSJD 02900;;SP;-20,43277778;-51,25777778;CETESB;lentico;2;Braço do Rio São José dos Dourados;31;2,09677419354839;2;3;2013-02-21;2018-02-27;0,300537153518764;0,0903225806451613;5,0192054794520548;6,1762763303693757
BUKI 02950;;SP;-23,15;-45,89833333;CETESB;lotico;2;Rio Buquira;13;3;3;3;2016-02-17;2018-02-21;0;0;2,0137260273972603;6,4556944803472061
BUNA 02900;;SP;-23,64861111;-47,2225;CETESB;lotico;2;Rio Una - UGHRI 10;81;2,8641975308642;2;10;2005-01-27;2018-05-17;1,67893631817703;2,81882716049383;13,3096164383561644;6,0858252659010582
